index,common_name,file,license,recordist,XC-number,stable_url,file-name
12,long-tailed duck,https://xeno-canto.org/487858/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Stanislas Wroza,487858,//xeno-canto.org/487858,XC487858-2018-07-19 Reykholar - Brajanslaekur - Latrabajarg 180719 Harelde boreale femelle cri simple ++.mp3
13,long-tailed duck,https://xeno-canto.org/487857/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Stanislas Wroza,487857,//xeno-canto.org/487857,XC487857-2018-07-19 Reykholar - Brajanslaekur - Latrabajarg 180719 Harelde boreale femelle cri simple (2).mp3
14,long-tailed duck,https://xeno-canto.org/443881/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Karl-Birger Strann,443881,//xeno-canto.org/443881,XC443881-Long-tailed duck males display call.mp3
15,long-tailed duck,https://xeno-canto.org/443880/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Karl-Birger Strann,443880,//xeno-canto.org/443880,XC443880-Long-tailed duck males call and display call in a raft.mp3
16,long-tailed duck,https://xeno-canto.org/432757/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Stanislas Wroza,432757,//xeno-canto.org/432757,XC432757-2018-07-24 sud des Westfjords - Reykholar 180724 Harelde boreale cri pose puis en vol.mp3
17,long-tailed duck,https://xeno-canto.org/420216/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Steve Hampton,420216,//xeno-canto.org/420216,XC420216-DR0000_0661.mp3
18,long-tailed duck,https://xeno-canto.org/413041/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Eetu Paljakka,413041,//xeno-canto.org/413041,XC413041-Default Project.mp3
19,long-tailed duck,https://xeno-canto.org/406365/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Patrik Åberg,406365,//xeno-canto.org/406365,"XC406365-Alfågel-spel-Barrow, Alaska-(2017-06-14 22.48)-[0.15]-LS141324.mp3"
20,long-tailed duck,https://xeno-canto.org/406364/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Patrik Åberg,406364,//xeno-canto.org/406364,"XC406364-Alfågel-spel-Barrow, Alaska-(2017-06-14 22.47)-[0.29]-LS141323.mp3"
21,long-tailed duck,https://xeno-canto.org/378342/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Stein Ø. Nilsen,378342,//xeno-canto.org/378342,XC378342-170619-083744HAVELLE_hann_shortcall.mp3
22,long-tailed duck,https://xeno-canto.org/340619/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Tero Linjama,340619,//xeno-canto.org/340619,XC340619-58_clahye_soidin2_Viro_Virtsu_2008-05-03.mp3
26,long-tailed duck,https://xeno-canto.org/208088/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Stein Ø. Nilsen,208088,//xeno-canto.org/208088,XC208088-030614ZOOM0025_havelle.mp3
27,long-tailed duck,https://xeno-canto.org/203479/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Andrew Spencer,203479,//xeno-canto.org/203479,XC203479-Long-tailed Duck2013-6-12-1t.mp3
28,long-tailed duck,https://xeno-canto.org/203478/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Andrew Spencer,203478,//xeno-canto.org/203478,XC203478-Long-tailed Duck2013-6-5-1flish.mp3
29,long-tailed duck,https://xeno-canto.org/203477/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Andrew Spencer,203477,//xeno-canto.org/203477,XC203477-Long-tailed Duck2014-6-29-2.mp3
30,long-tailed duck,https://xeno-canto.org/203476/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Andrew Spencer,203476,//xeno-canto.org/203476,XC203476-Long-tailed Duck2014-6-29-1.mp3
31,long-tailed duck,https://xeno-canto.org/203475/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Andrew Spencer,203475,//xeno-canto.org/203475,XC203475-Long-tailed Duck2014-6-28-1.mp3
