id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
70125887,Wed Feb 24 2021 12:56:58 GMT-0500 (EST),2021-02-24,2021-02-24 17:56:58 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-02-25 02:44:35 UTC,2021-03-07 16:00:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70125887,https://inaturalist-open-data.s3.amazonaws.com/photos/113941672/medium.jpg,,"","Wednesday morning, meeting season. This is evidently the female flying in and landing. Then see next post. This is post one of two.",1,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.9526078543,-75.1837969447,395,,,,395,,,false,,,Faucon pèlerin,Falco peregrinus,Peregrine Falcon,Aves,4647
70126173,Wed Feb 24 2021 12:57:24 GMT-0500 (EST),2021-02-24,2021-02-24 17:57:24 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-02-25 02:49:55 UTC,2021-09-05 05:14:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70126173,https://inaturalist-open-data.s3.amazonaws.com/photos/113942115/medium.jpg,,"","Wednesday morning, meeting season. Evidently it was the female that had just landed. The male joins here in this post 2 of 2.",1,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.9529714484,-75.1841777307,395,,,,395,,,false,,,Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Aves,4647
70126580,Wed Feb 24 2021 17:46:35 GMT-0500 (EST),2021-02-24,2021-02-24 22:46:35 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-02-25 02:58:14 UTC,2021-09-05 05:14:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70126580,https://inaturalist-open-data.s3.amazonaws.com/photos/114029777/medium.jpg,,"","",1,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.9527291649,-75.1840731404,395,,,,395,,,false,,,Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Aves,4647
70126715,Wed Feb 24 2021 17:46:35 GMT-0500 (EST),2021-02-24,2021-02-24 22:46:35 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-02-25 03:00:58 UTC,2021-02-25 20:34:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70126715,https://inaturalist-open-data.s3.amazonaws.com/photos/113943045/medium.jpg,,"","Cranes, flying north as a peregrine falcon flew south.  ",2,0,false,3,"Schuylkill River, Philadelphia, PA, US",39.9515519878,-75.1822981678,395,,,,395,,open,false,,,Canada Goose,Branta canadensis,Canada Goose,Aves,7089
70175164,Thu Feb 25 2021 16:09:08 GMT-0500 (EST),2021-02-25,2021-02-25 21:09:08 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-02-26 01:52:25 UTC,2021-02-26 06:15:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70175164,https://inaturalist-open-data.s3.amazonaws.com/photos/114030462/medium.jpg,,"","Peregrine falcon 1 of 2, on the left in orange circle. See next post. ",3,0,false,3,"Highline Green, Philadelphia, PA, US",39.9527331983,-75.186027688,395,,,,395,,,false,,,Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Aves,4647
70175263,Thu Feb 25 2021 16:08:00 GMT-0500 (EST),2021-02-25,2021-02-25 21:08:00 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-02-26 01:54:52 UTC,2021-03-01 02:09:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70175263,https://inaturalist-open-data.s3.amazonaws.com/photos/114030605/medium.jpg,,"","Peregrine falcon 2 of 2, on the right in green box. See previous post.",4,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.9529895771,-75.186413728,395,,,,395,,,false,,,Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Aves,4647
70228739,Fri Feb 26 2021 16:26:08 GMT-0500 (EST),2021-02-26,2021-02-26 21:26:08 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-02-27 02:01:00 UTC,2021-02-27 13:07:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70228739,https://inaturalist-open-data.s3.amazonaws.com/photos/114124004/medium.jpg,,"",16:26 this afternoon. ,1,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.9527528153,-75.1843453629,395,,,,395,,,false,,,Faucon pèlerin,Falco peregrinus,Peregrine Falcon,Aves,4647
70642900,Fri Mar 05 2021 17:50:31 GMT-0500 (EST),2021-03-05,2021-03-05 22:50:31 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-03-06 02:50:46 UTC,2021-05-08 01:04:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70642900,https://inaturalist-open-data.s3.amazonaws.com/photos/114886672/medium.jpg,,"",Peregrine falcons mating. Orange circle female posted here. See next post.,2,0,false,3,"Chestnut St, Philadelphia, PA, US",39.9524204616,-75.179632817,395,,,,395,,,false,,,Faucon pèlerin,Falco peregrinus,Peregrine Falcon,Aves,4647
70643036,Fri Mar 05 2021 17:51:35 GMT-0500 (EST),2021-03-05,2021-03-05 22:51:35 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-03-06 02:53:57 UTC,2021-03-06 05:39:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70643036,https://inaturalist-open-data.s3.amazonaws.com/photos/114881470/medium.jpg,,"",Peregrine falcons mating. Blue square male joining here. See previous post.  ,1,0,false,3,"Chestnut St, Philadelphia, PA, US",39.9522649067,-75.1795012361,395,,,,395,,,false,,,Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Aves,4647
70643579,Fri Mar 05 2021 17:49:53 GMT-0500 (EST),2021-03-05,2021-03-05 22:49:53 UTC,Eastern Time (US & Canada),142840,dwiebe,2021-03-06 03:08:35 UTC,2021-03-06 18:59:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70643579,https://inaturalist-open-data.s3.amazonaws.com/photos/114882758/medium.jpg,,"","",3,0,false,3,"University of Pennsylvania, Philadelphia, PA, US",39.9525675073,-75.1848164463,395,,,,395,,,false,,,Peregrine Falcon,Falco peregrinus,Peregrine Falcon,Aves,4647
